test1 SA=0 and orig offset
test2 SA=1 and orig offset
test3 SA=1 and offset =0
test4 SA=1 and offset =0. turn off fChambers[i]->CorrectHitTimes();


Compare test1 to test2
1u1 -0.00415662 0.0556719 0.000916987 0.0536137
1u2 -0.0150442 0.0568024 -0.0226861 0.0582134
1x1 0.012074 0.0580988 0.0108677 0.0542529
1x2 0.0104442 0.056452 0.0102737 0.0528634
1v1 -0.00258051 0.0540609 0.00312851 0.053634
1v2 -0.0150674 0.0568889 -0.0247997 0.0603418
2v2 -0.016112 0.0534559 -0.0312941 0.0600669
2v1 0.0172649 0.0528002 0.0351727 0.0594543
2x2 -0.00255741 0.0541099 0.000439585 0.0514659
2x1 -0.000273671 0.0551656 -0.00427061 0.0517938
2u2 -0.00139416 0.0552973 -0.00408488 0.0550394
2u1 0.00436044 0.0572276 0.00949807 0.0563314

Compare test2 to test3 
1u1 0.000916987 0.0536137 0.00600724 0.0541944
1u2 -0.0226861 0.0582134 0.000468242 0.0544989
1x1 0.0108677 0.0542529 -0.00477699 0.0530305
1x2 0.0102737 0.0528634 -0.00233605 0.0514362
1v1 0.00312851 0.053634 0.00687456 0.055116
1v2 -0.0247997 0.0603418 0.000292166 0.0557871
2v2 -0.0312941 0.0600669 -0.00196434 0.0546207
2v1 0.0351727 0.0594543 0.00444708 0.0541815
2x2 0.000439585 0.0514659 -0.00160001 0.0516643
2x1 -0.00427061 0.0517938 -0.00030305 0.0512688
2u2 -0.00408488 0.0550394 0.00219697 0.0537712
2u1 0.00949807 0.0563314 0.000503881 0.0545616

Compare test3 to test4 
1u1 0.00600724 0.0541944 0.00637058 0.0550763
1u2 0.000468242 0.0544989 0.00047006 0.0532909
1x1 -0.00477699 0.0530305 -0.00451092 0.0533534
1x2 -0.00233605 0.0514362 -0.00210402 0.0514224
1v1 0.00687456 0.055116 0.00697084 0.054373
1v2 0.000292166 0.0557871 0.000388199 0.0545483
2v2 -0.00196434 0.0546207 -0.00219459 0.0539313
2v1 0.00444708 0.0541815 0.00493349 0.054804
2x2 -0.00160001 0.0516643 -0.00149401 0.0515611
2x1 -0.00030305 0.0512688 -0.000478763 0.0506111
2u2 0.00219697 0.0537712 0.00238181 0.052557
2u1 0.000503881 0.0545616 8.33081e-05 0.0549077
